Group	Score
2	463.27144
2	38.2339
2	702.69654
2	374.0321
1	5493.04171
1	2608.8755
1	397.03407
1	389.2311
1	601.4551
1	430.38871
1	1255.37
1	262.62392
1	320.09447
1	2194.99235
1	59.39664
1	219.07479
1	336.52826
1	393.83305
1	535.82149
1	404.03815
1	421.08892
1	1072.99001
1	3424.15318
1	54.60138
1	519.95804
1	305.30433
1	181.5043
1	337.36905
1	88.92032
1	1283.55545
1	658.39912
1	718.25855
1	362.4283
1	500.86683
1	560.72946
1	457.9482
1	618.32697
1	301.94823
1	704.75731
1	79.70852
1	46.57528
1	2572.7904
1	NA
1	NA
1	576.16599
1	240.89504
1	338.04729
1	317.93961
1	363.58217
1	1196.07782
1	461.15858
1	448.58378
1	580.40227
1	435.84391
1	106.29745
1	40.2589
1	281.76292
1	53.56722
1	179.27238
1	401.75757
1	NA
1	1216.12316
1	474.13214
1	303.26172
1	6476.05952
1	785.96081
1	599.48748
1	415.15193
