fc	zscore	Group	GO_category
-1.703334985	1.22962783702423	Unconserved	Other
-0.232154152	1.42611868592043	Unconserved	Other
-2.443460271	1.42611868592043	Unconserved	PS/tetrapyrrole_synthesis
0.235024589	-0.00768043352568079	Unconserved	Other
-0.677419297	0.0500764155983815	Unconserved	Other
-0.174740165	-0.372365289695093	Unconserved	Other
-0.653797205	-0.876877143077488	Unconserved	Other
-8.417213496	-0.118532890942528	Unconserved	Other
-0.158577103	-0.234889881665041	Unconserved	Other
-1.587972014	-0.354006967544496	Unconserved	Other
-0.363752045	-1.05016864481954	Unconserved	Other
-0.363752045	-1.05016864481954	Unconserved	Other
-2.965886046	2.10111529218681	Conserved	Other
-0.413308977	0.329385324653038	Unconserved	Other
-1.910616876	-0.535753929481067	Unconserved	Other
-2.576550902	-1.84182319485029	Unconserved	Other
-0.85194667	1.57290982161756	Unconserved	Other
-0.431864004	-0.316879374548542	Unconserved	Other
-1.313896976	2.50669164780935	Unconserved	PS/tetrapyrrole_synthesis
-0.383202765	0.24422425779814	Unconserved	Other
0.370078645	1.16443564586955	Unconserved	Other
-0.798794472	1.16443564586955	Unconserved	Other
0.183572475	0.0276281193567582	Conserved	Other
-1.07827098	0.750750438136508	Unconserved	Other
-2.352240661	1.54550872571315	Conserved	PS/tetrapyrrole_synthesis
-0.259329989	0.492027839643195	Unconserved	Other
0.276420653	-0.508462672316697	Unconserved	Other
-0.281154907	-0.472897285174734	Unconserved	Other
-1.414923621	0.964276220281609	Unconserved	Other
0.400293853	-0.433438667679615	Unconserved	Other
0.239691219	0.53076525577787	Unconserved	Other
-0.833299125	0.309356423109673	Unconserved	Other
-0.031024407	0.0731437172602379	Conserved	Other
-0.031024407	0.0731437172602379	Conserved	Other
-1.212051717	1.40760158256825	Unconserved	Other
0.114382823	-0.404311716797341	Unconserved	Other
0.081998176	0.199493248556784	Unconserved	Other
-0.325161042	0.978216669124649	Unconserved	Other
-1.458457966	0.461687699371392	Unconserved	Other
-0.000815587	-0.191806599373874	Unconserved	Other
-1.921545916	0.0234889744773214	Unconserved	Other
0.151636073	-1.39528957728255	Unconserved	Other
0.517013107	-0.507308618775945	Conserved	Other
-1.94576567	1.69516366321824	Unconserved	PS/tetrapyrrole_synthesis
-0.321467613	-0.400683808731981	Unconserved	Other
0.432572626	-1.59306072741486	Conserved	Other
0.206129702	-0.783346149736684	Unconserved	Other
-0.292309593	-0.186909273351525	Unconserved	Other
0.666924223	0.798294433195404	Conserved	Other
0.666924223	0.798294433195404	Conserved	PS/tetrapyrrole_synthesis
-0.41546676	0.507771343004243	Unconserved	Other
-1.315245575	0.92402107284499	Unconserved	Other
0.383478453	0.92402107284499	Unconserved	Other
0.963188086	-0.368987334453922	Unconserved	Other
-0.936657337	0.615098017086782	Conserved	Other
-0.518963254	-1.45770180422507	Unconserved	Other
-0.49318828	0.745071423835768	Unconserved	Other
-0.293510944	-0.235008759379573	Unconserved	Other
-0.912298359	-0.00990508392091205	Unconserved	Other
0.064917873	-0.623370324510724	Unconserved	Other
0.165512401	-0.845600693785781	Unconserved	Other
-0.359404221	-0.396653130869798	Unconserved	Other
-1.429918046	2.16307033566974	Conserved	PS/tetrapyrrole_synthesis
-0.243267569	-1.92486161041815	Unconserved	Other
-1.739980877	0.33952143073119	Unconserved	Other
0.786016651	0.29968150468582	Unconserved	Other
-1.376720736	-0.385114242466399	Unconserved	Other
-1.087192272	0.00288177163777975	Unconserved	PS/tetrapyrrole_synthesis
-0.405164262	0.143374893970648	Unconserved	Other
-1.272962526	0.143374893970648	Unconserved	Other
-0.307831166	0.143374893970648	Unconserved	Other
-0.027801115	0.171678974547008	Unconserved	Other
-0.737681946	0.466464292145151	Unconserved	Other
-1.660809696	0.909610094716574	Unconserved	Other
-5.132575999	0.79543744333814	Conserved	Other
-2.14313999	-0.334590452099602	Unconserved	Other
-0.856772548	-1.03090364795254	Unconserved	Other
-0.518341132	0.00695274206718154	Unconserved	Other
-0.317645007	-0.453335620250409	Unconserved	Other
-0.218378363	-1.99893749640767	Unconserved	Other
0.804311178	-0.961265565321775	Unconserved	Other
-0.67868509	-0.087078324214617	Unconserved	Other
-0.445122427	0.0852838611900455	Unconserved	Other
0.642330556	-1.25597221018429	Unconserved	Other
-0.173915032	-0.447168650969619	Unconserved	Other
-0.179725552	-0.467457248083401	Unconserved	Other
0.345451882	0.0502026605537015	Conserved	Other
-0.647700505	-0.33834371071792	Unconserved	PS/tetrapyrrole_synthesis
0.064940661	-0.776504134449351	Unconserved	Other
-0.538301743	0.103030859523579	Unconserved	Other
-0.110015958	-1.04359482857355	Unconserved	Other
0.398782613	-0.853599506803484	Unconserved	Other
-0.891932887	1.74637280167054	Unconserved	Other
-1.072019203	-1.13313219643711	Conserved	Other
-1.124934228	1.69869285237701	Conserved	Other
0.410124577	-1.4634017889881	Conserved	Other
-0.570341207	-0.37403541265999	Unconserved	Other
-0.960964816	0.915788016977129	Unconserved	Other
-2.511003434	2.30702014311991	Conserved	Other
-0.319613395	-0.937082708446338	Unconserved	Other
-0.238779711	-0.644555641598255	Unconserved	Other
-0.415881063	0.554717987869177	Unconserved	Other
-1.128899718	-1.71579047042505	Unconserved	Other
-1.128899718	-1.71579047042505	Unconserved	Other
-0.187044181	-0.759700783592208	Unconserved	Other
0.186529969	-1.48551668240678	Unconserved	Other
-0.264345078	0.0890530856013969	Unconserved	Other
0.252315645	-1.94161906443532	Unconserved	Other
-0.409712232	-0.451267827132138	Unconserved	Other
-0.810232409	-0.12800052973544	Unconserved	Other
-0.810232409	-0.12800052973544	Unconserved	PS/tetrapyrrole_synthesis
-0.103698102	0.196958144290087	Unconserved	Other
-0.146268374	-0.0787189141375208	Unconserved	Other
0.076626016	0.155636662713566	Unconserved	Other
-0.920137022	0.595222162622421	Unconserved	Other
-0.600401219	-1.10785245733381	Unconserved	Other
-0.190916686	-0.0537915150790221	Unconserved	Other
-0.904137964	0.973046301954218	Unconserved	Other
-0.295458281	0.24703803240152	Unconserved	Other
-0.408720316	-1.96380832056142	Unconserved	Other
0.073717151	-0.19073060546078	Unconserved	Other
-0.574905169	-0.326648789462074	Unconserved	Other
0.12103258	-0.473958738870502	Unconserved	Other
-4.952359619	0.331789087830935	Unconserved	Other
-1.984102455	1.24494907401623	Unconserved	Other
1.303996187	-0.108167258730175	Unconserved	Other
-0.508003146	0.365813328719617	Unconserved	Other
-0.027933009	0.67148713066714	Unconserved	Other
-0.020475328	-1.41545866109517	Unconserved	Other
-0.825415107	0.0299043929335236	Unconserved	Other
-0.825415107	0.0299043929335236	Unconserved	Other
-0.370598048	0.725417400528066	Unconserved	Other
0.080847383	-1.70943351828588	Unconserved	Other
-0.810322783	0.655752492372025	Unconserved	Other
-0.778569212	-0.103564392379039	Unconserved	PS/tetrapyrrole_synthesis
0.355537884	-0.305231833502329	Unconserved	Other
-0.069820275	-0.230365913291491	Unconserved	Other
0.244230245	-0.463677841315651	Unconserved	Other
-1.112557787	0.124972549371411	Unconserved	Other
-2.295499491	0.316483433178591	Unconserved	Other
0.129986653	-0.499255384427141	Unconserved	Other
-0.01100891	0.884695152823663	Unconserved	Other
-0.353155132	0.373831215325527	Unconserved	Other
-7.217504368	0.431656123952469	Conserved	Other
-4.128985898	1.81716282370031	Conserved	PS/tetrapyrrole_synthesis
-2.83721674	1.81716282370031	Unconserved	Other
-1.433338038	-0.0448799404440634	Unconserved	Other
